Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANEIRO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUC., CIÊNC. E TECN. SUL-RIO-GRANDENSE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;COLÉGIO PEDRO II;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MATO GROSSO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
