Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
31027016001P6;HISTÓRIA;UNIVERSIDADE DE VASSOURAS;HISTÓRIA                                          ;HISTÓRIA;EM DESATIVACAO;ACADÊMICO;2;-;-;-
33004048018P5;HISTÓRIA;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ASSIS );HISTÓRIA                                          ;HISTÓRIA;EM DESATIVACAO;ACADÊMICO;4;4;-;-
26013002001P9;INOVAÇÃO E DESENVOLVIMENTO;CENTRO UNIVERSITÁRIO DOS GUARARAPES;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
42006015003P0;LETRAS;UNIVERSIDADE CATÓLICA DE PELOTAS;LINGUíSTICA E LITERATURA;LINGÜÍSTICA APLICADA;EM DESATIVACAO;ACADÊMICO;5;5;-;-
42043018001P5;LETRAS;CENTRO UNIVERSITÁRIO RITTER DOS REIS;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;ACADÊMICO;4;-;-;-
42041015008P7;LETRAS;UNIVERSIDADE FEEVALE;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
12008010006P0;Letras e Artes;UNIVERSIDADE DO ESTADO DO AMAZONAS;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
28001010017P2;LETRAS E LINGÜÍSTICA;UNIVERSIDADE FEDERAL DA BAHIA;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;ACADÊMICO;5;5;-;-
42008018012P1;Letras (UCS/UNIRITTER);CENTRO UNIVERSITÁRIO RITTER DOS REIS;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;ACADÊMICO;-;4;-;-
42008018012P1;Letras (UCS/UNIRITTER);UNIVERSIDADE DE CAXIAS DO SUL;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;ACADÊMICO;-;4;-;-
16003012008P9;Letras:Ensino de Língua e Literatura;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;LINGUíSTICA E LITERATURA;LETRAS;EM DESATIVACAO;ACADÊMICO;4;4;-;-
22001018050P0;LOGÍSTICA E PESQ. OPERACIONAL;UNIVERSIDADE FEDERAL DO CEARÁ;ENGENHARIAS III                                   ;ENGENHARIA DE PRODUÇÃO;EM DESATIVACAO;ACADÊMICO;2;-;-;-
30001013043P6;Medicina;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;MEDICINA I                                        ;MEDICINA;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
33002010059P4;MEDICINA (CLÍNICA CIRÚRGICA);UNIVERSIDADE DE SÃO PAULO;MEDICINA III                                      ;CIRURGIA;EM DESATIVACAO;ACADÊMICO;-;2;-;-
52001016067P4;Modelagem e Otimização;UNIVERSIDADE FEDERAL DE GOIÁS;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;ACADÊMICO;3;-;-;-
40024016001P2;ODONTOLOGIA;UNIVERSIDADE PITÁGORAS UNOPAR;ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;ACADÊMICO;4;4;-;-
28008014003P2;ODONTOLOGIA;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
51001012033P0;ODONTOLOGIA;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;ACADÊMICO;2;-;-;-
33052018002P1;Odontologia;UNIVERSIDADE CIDADE DE SÃO PAULO;ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
