Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
31001017045P1;MEDICINA (GASTROENTEROLOGIA);UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA I                                        ;GASTROENTEROLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
32001010048P3;MEDICINA (GASTROENTEROLOGIA);UNIVERSIDADE FEDERAL DE MINAS GERAIS;MEDICINA I                                        ;GASTROENTEROLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33016011001P3;MEDICINA (GASTROENTEROLOGIA);IGESP SAUDE S/C LTDA;MEDICINA I                                        ;GASTROENTEROLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33038015003P2;MEDICINA (GASTROENTEROLOGIA CIRÚRGICA);INSTITUTO DE ASSIST. MÉDICA AO SERVIDOR PÚBLICO ESTADUAL;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017047P4;MEDICINA (GINECOLOGIA);UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA III                                      ;GINECOLOGIA E OBSTETRÍCIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010065P4;MEDICINA (HEMATOLOGIA);UNIVERSIDADE DE SÃO PAULO;MEDICINA II                                       ;HEMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015065P9;MEDICINA INTERNA E TERAPÊUTICA;UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA I                                        ;CLÍNICA MÉDICA;DESATIVADO ;PROFISSIONAL;-;-;-;-
31004016005P9;MEDICINA (NEFROLOGIA);UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;MEDICINA I                                        ;NEFROLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015008P5;MEDICINA (NEUROCIRURGIA);UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA III                                      ;CIRURGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015060P7;MEDICINA (NEUROLOGIA);UNIVERSIDADE FEDERAL DE SÃO PAULO;MEDICINA II                                       ;NEUROLOGIA;DESATIVADO ;PROFISSIONAL;-;-;-;-
33019010008P7;MEDICINA, ORTOPEDIA E TRAUMATOLOGIA;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO;MEDICINA III                                      ;ORTOPEDIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017053P4;MEDICINA (ORTOPEDIA E TRAUMATOLOGIA);UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA III                                      ;ORTOPEDIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31005012018P0;MEDICINA (OTORRINOLARINGOLOGIA);PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;MEDICINA III                                      ;CIRURGIA OTORRINOLARINGOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33002029028P7;MEDICINA (OTORRINOLARINGOLOGIA);UNIVERSIDADE DE SÃO PAULO ( RIBEIRÃO PRETO );MEDICINA III                                      ;CIRURGIA OTORRINOLARINGOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33019010007P0;MEDICINA (OTORRINOLARINGOLOGIA);FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO;MEDICINA III                                      ;CIRURGIA OTORRINOLARINGOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33019010006P4;MEDICINA (PEDIATRIA);FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO;MEDICINA II                                       ;PEDIATRIA;DESATIVADO ;ACADÊMICO;-;-;-;-
51001012008P5;MEDICINA (PEDIATRIA);FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;MEDICINA II                                       ;PEDIATRIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31003010011P6;MEDICINA (PNEUMOLOGIA);UNIVERSIDADE FEDERAL FLUMINENSE;MEDICINA I                                        ;PNEUMOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010074P3;MEDICINA (REUMATOLOGIA);UNIVERSIDADE DE SÃO PAULO;MEDICINA II                                       ;REUMATOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33019010005P8;MEDICINA (TOCOGINECOLOGIA);FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO;MEDICINA III                                      ;GINECOLOGIA E OBSTETRÍCIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31004016012P5;MEDICINA (UROLOGIA);UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;MEDICINA III                                      ;CIRURGIA UROLÓGICA;DESATIVADO ;ACADÊMICO;-;-;-;-
31002013009P1;MEDICINA VETERINÁRIA;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA;DESATIVADO ;ACADÊMICO;-;-;-;-
32001010030P7;MEDICINA VETERINÁRIA;UNIVERSIDADE FEDERAL DE MINAS GERAIS;MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA;DESATIVADO ;ACADÊMICO;-;-;-;-
24001023036P8;MEDICINA VETERINÁRIA EM PEQUENOS RUMINANTES;UNIVERSIDADE FEDERAL DA PARAÍBA/CAMPINA GRANDE;MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33004102057P0;MEDICINA VETERINÁRIA (MEDICINA VETERINÁRIA PREVENTIVA);UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( JABOTICABAL );MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA;DESATIVADO ;ACADÊMICO;-;-;-;-
33004102053P4;MEDICINA VETERINÁRIA (PATOLOGIA ANIMAL);UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( JABOTICABAL );MEDICINA VETERINÁRIA                              ;PATOLOGIA ANIMAL;DESATIVADO ;ACADÊMICO;-;-;-;-
32077017001P8;MEIO AMBIENTE E SUSTENTABILIDADE;CENTRO UNIVERSITÁRIO DE CARATINGA;INTERDISCIPLINAR                                  ;MEIO AMBIENTE E AGRÁRIAS;DESATIVADO ;PROFISSIONAL;-;-;-;-
24001023003P2;METEOROLOGIA;UNIVERSIDADE FEDERAL DA PARAÍBA/CAMPINA GRANDE;GEOCIÊNCIAS                                       ;METEOROLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
41001010061P9;METROLOGIA CIENTÍFICA E  INDUSTRIAL;UNIVERSIDADE FEDERAL DE SANTA CATARINA;INTERDISCIPLINAR                                  ;INTERDISCIPLINAR;DESATIVADO ;PROFISSIONAL;-;-;-;-
41001010042P4;METROLOGIA CIENTÍFICA E INDUSTRIAL;UNIVERSIDADE FEDERAL DE SANTA CATARINA;ENGENHARIAS III                                   ;GARANTIA DE CONTROLE DE QUALIDADE;DESATIVADO ;PROFISSIONAL;-;-;-;-
33004013064P0;MICROBIOLOGIA;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO (SEDE);CIÊNCIAS BIOLÓGICAS III                           ;MICROBIOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
40002012006P8;MICROBIOLOGIA;UNIVERSIDADE ESTADUAL DE LONDRINA;CIÊNCIAS BIOLÓGICAS III                           ;MICROBIOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
28022017002P1;MICROBIOLOGIA AGRÍCOLA;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;DESATIVADO ;ACADÊMICO;-;-;-;-
31002013008P5;MICROBIOLOGIA VETERINÁRIA;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA PREVENTIVA;DESATIVADO ;ACADÊMICO;-;-;-;-
33127018002P5;MODA, CULTURA E ARTE;CENTRO UNIVERSITÁRIO SENAC;INTERDISCIPLINAR                                  ;SOCIAIS E HUMANIDADES;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010181P4;MODELAGEM MATEMÁTICA EM FINANÇAS;UNIVERSIDADE DE SÃO PAULO;ECONOMIA                                          ;ECONOMIA;DESATIVADO ;PROFISSIONAL;-;-;-;-
33009015062P0;MORFOLOGIA;UNIVERSIDADE FEDERAL DE SÃO PAULO;CIÊNCIAS BIOLÓGICAS II                            ;MORFOLOGIA;DESATIVADO ;PROFISSIONAL;-;-;-;-
41001010082P6;multidisciplinar em saúde;UNIVERSIDADE FEDERAL DE SANTA CATARINA;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;DESATIVADO ;PROFISSIONAL;-;-;-;-
31016014001P8;MÚSICA;CONSERVATÓRIO BRASILEIRO DE MÚSICA;ARTES;MÚSICA;DESATIVADO ;ACADÊMICO;-;-;-;-
52001016013P1;MÚSICA;UNIVERSIDADE FEDERAL DE GOIÁS;ARTES;ARTES;DESATIVADO ;ACADÊMICO;-;-;-;-
31001017050P5;NEFROLOGIA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;MEDICINA I                                        ;NEFROLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
28001010034P4;NUTRIÇÃO;UNIVERSIDADE FEDERAL DA BAHIA;NUTRIÇÃO;NUTRIÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015064P2;NUTRIÇÃO;UNIVERSIDADE FEDERAL DE SÃO PAULO;NUTRIÇÃO;NUTRIÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
53001010034P5;NUTRIÇÃO HUMANA;UNIVERSIDADE DE BRASÍLIA;NUTRIÇÃO;NUTRIÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010025P2;OCEANOGRAFIA (OCEANOGRAFIA BIOLÓGICA);UNIVERSIDADE DE SÃO PAULO;BIODIVERSIDADE;OCEANOGRAFIA BIOLÓGICA;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010015P7;OCEANOGRAFIA (OCEANOGRAFIA FÍSICA);UNIVERSIDADE DE SÃO PAULO;GEOCIÊNCIAS                                       ;GEOCIÊNCIAS;DESATIVADO ;ACADÊMICO;-;-;-;-
33002010178P3;OCEANOGRAFIA QUÍMICA E GEOLÓGICA;UNIVERSIDADE DE SÃO PAULO;GEOCIÊNCIAS                                       ;GEOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
23004010001P0;ODONTOLOGIA;UNIVERSIDADE POTIGUAR;ODONTOLOGIA                                       ;CLÍNICA ODONTOLÓGICA;DESATIVADO ;ACADÊMICO;-;-;-;-
24001015039P1;ODONTOLOGIA;UNIVERSIDADE FEDERAL DA BAHIA;ODONTOLOGIA                                       ;ODONTOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
24001015039P1;ODONTOLOGIA;UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA );ODONTOLOGIA                                       ;ODONTOLOGIA;DESATIVADO ;ACADÊMICO;-;-;-;-
